Data_ID,KPI_ID,KPI_Name,KPI_Description,KPI_Unit,KPI_Target_Type,Department_ID,Department_Name,Department_Description,Actual_Value,Target_Value,Variance,Achievement_Rate,Status,Performance_Category,Period,Date,DateTime,Year,Month,Month_Name,Quarter,Week,Day,Weekday,Notes,Created_By
1,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,54041.86,100000.0,-45958.14,54.04,Below Target,Poor,daily,2025-07-15,2025-07-15 04:56:15,2025,7,July,Q3,29,15,Tuesday,,system
2,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,63154.76,100000.0,-36845.24,63.15,Below Target,Poor,daily,2025-07-16,2025-07-16 04:56:15,2025,7,July,Q3,29,16,Wednesday,,system
3,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,136830.84,100000.0,36830.84,136.83,Above Target,Excellent,daily,2025-07-17,2025-07-17 04:56:15,2025,7,July,Q3,29,17,Thursday,,system
4,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,132330.83,100000.0,32330.829999999987,132.33,Above Target,Excellent,daily,2025-07-18,2025-07-18 04:56:15,2025,7,July,Q3,29,18,Friday,,system
5,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,65589.99,100000.0,-34410.009999999995,65.59,Below Target,Poor,daily,2025-07-19,2025-07-19 04:56:15,2025,7,July,Q3,29,19,Saturday,,system
6,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,135900.78,100000.0,35900.78,135.9,Above Target,Excellent,daily,2025-07-20,2025-07-20 04:56:15,2025,7,July,Q3,29,20,Sunday,,system
7,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,134771.05,100000.0,34771.04999999999,134.77,Above Target,Excellent,daily,2025-07-21,2025-07-21 04:56:15,2025,7,July,Q3,30,21,Monday,,system
8,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,113585.84,100000.0,13585.839999999997,113.59,Above Target,Excellent,daily,2025-07-22,2025-07-22 04:56:15,2025,7,July,Q3,30,22,Tuesday,,system
9,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,119032.32,100000.0,19032.320000000007,119.03,Above Target,Excellent,daily,2025-07-23,2025-07-23 04:56:15,2025,7,July,Q3,30,23,Wednesday,,system
10,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,51508.7,100000.0,-48491.3,51.51,Below Target,Poor,daily,2025-07-24,2025-07-24 04:56:15,2025,7,July,Q3,30,24,Thursday,,system
11,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,67101.05,100000.0,-32898.95,67.1,Below Target,Poor,daily,2025-07-25,2025-07-25 04:56:15,2025,7,July,Q3,30,25,Friday,,system
12,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,121570.79,100000.0,21570.789999999994,121.57,Above Target,Excellent,daily,2025-07-26,2025-07-26 04:56:15,2025,7,July,Q3,30,26,Saturday,,system
13,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,59485.73,100000.0,-40514.27,59.49,Below Target,Poor,daily,2025-07-27,2025-07-27 04:56:15,2025,7,July,Q3,30,27,Sunday,,system
